[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f99bdbc9c2f38b69    5 of  18   com/google/android/material/shape/MaterialShapeUtils
513ceb59b411f1bc    4 of   7   com/serwylo/lexica/JacocoInstrument/SMSInstrumentedReceiver
97c897c332cb2f09   30 of  51   androidx/lifecycle/ReportFragment
7f222e29a6bc667e  117 of 348   com/google/android/material/button/MaterialButton
3b16101bf59a0f5e    1 of   1   io/github/tonnyl/whatsnew/WhatsNew$WhenMappings
478cd017c4eff8be    1 of   2   androidx/room/RoomMasterTable
b2fe7fe60d402b95    1 of   2   androidx/fragment/app/FragmentManager$5
b9b4fd4788f511cb    2 of  10   com/google/android/material/shape/AbsoluteCornerSize
5bf33bc5235916a0  108 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
77de6e9874d3085a    1 of   2   androidx/fragment/app/Fragment$1
d6e6e311399511b2    9 of  53   com/google/android/material/resources/MaterialResources
3c5335e3900d846c    8 of 151   androidx/fragment/app/FragmentManagerViewModel
3ba8afdfed4e6ee8    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
954f1485ac338628    1 of   4   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl23
57fdef14c3bd3887   32 of  40   com/serwylo/lexica/lang/Croatian
14f55efe384a7795   29 of 154   androidx/appcompat/app/AppCompatViewInflater
