[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
06303195799ebf71    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
6d44bb7058a237da    3 of  10   androidx/room/InvalidationLiveDataContainer
bfa09f273ef99f30   13 of  74   androidx/work/impl/model/SystemIdInfoDao_Impl
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
b8bc9bd634d80eea    2 of   7   shark/AndroidReferenceMatchers$BLOCKING_QUEUE$add$1
4b6dd984e95192e0    1 of  23   androidx/core/util/ObjectsCompat
9a23b0894d8c8e7d    6 of   7   kotlin/LazyThreadSafetyMode
142085a151e4f139    2 of   7   leakcanary/WorkManagerHeapAnalyzer$workManagerSupportsExpeditedRequests$2
2b6ce2811447dcf5    1 of   2   androidx/core/os/UserManagerCompat$Api24Impl
28ecc5a7533e6f14    2 of   4   leakcanary/AndroidDebugHeapDumper
a74d9f5575d78ca7   10 of 108   retrofit2/RequestBuilder
a138c78e316e8eb3    2 of   2   shark/ReferencePattern$Companion
67609d99716142f4    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$3
b55d87d0bb5630b7    3 of  25   okhttp3/internal/platform/android/Android10SocketAdapter
cef8a5ca02be50e2    2 of   9   shark/AndroidReferenceMatchers$PLAYER_BASE$add$1
e4d45ade0295fdef    1 of   2   com/google/android/gms/internal/mlkit_language_id_bundled/zbl
dd9c3ad7e26ebc50    3 of   3   shark/AndroidReferenceMatchers$APPLICATION_PACKAGE_MANAGER__HAS_SYSTEM_FEATURE_QUERY
f24645e508aca678    7 of  19   io/reactivex/rxjava3/android/schedulers/AndroidSchedulers
aef50ee6cfaececa   20 of  48   okio/Segment
ab397c4e4dad03a3    3 of   3   shark/AndroidReferenceMatchers$RAZER_TEXT_KEY_LISTENER__MCONTEXT
837aabafa3389a94    3 of  28   leakcanary/ViewLocationHolderLeakFix
e0e2bf496cb9226e    2 of  14   io/reactivex/rxjava3/core/Scheduler$DisposeTask
fc7836a7937730d5    6 of  62   androidx/work/impl/Schedulers
34e4e4b1c4c6d5ee    2 of   7   shark/AndroidReferenceMatchers$ACCESSIBILITY_ITERATORS$add$1
1660b145b2a7f400    2 of   2   androidx/work/impl/constraints/controllers/NetworkMeteredController$Companion
d2e2107097cb24db    1 of   1   org/wikipedia/WikipediaFileProvider
41723388b4c07fb9    1 of  15   androidx/fragment/app/FragmentManager$FragmentLifecycleCallbacks
c50ba5eaa1247843    2 of   7   leakcanary/AppWatcher$objectWatcher$2
1a157c53a5d2e212    3 of   3   shark/AndroidReferenceMatchers$EXTENDED_STATUS_BAR_MANAGER
c754df30b03469d7    2 of   7   shark/AndroidReferenceMatchers$COMPANION_DEVICE_SERVICE__STUB$add$1
bbb1dd7aa5da1a98   95 of 167   okhttp3/OkHttpClient
482b054e11f4fd1b   17 of 127   kotlin/jvm/internal/Intrinsics
2b93899bb039cbbb    2 of  11   shark/AndroidObjectInspectors$ANDROIDX_FRAGMENT$leakingObjectFilter$1
e95d736ec17232ca    2 of  38   kotlin/collections/builders/ListBuilderKt
4f06e5753d094ef4    3 of   8   okhttp3/CertificatePinner$Builder
35e0566db8262239    2 of   4   okhttp3/internal/connection/RealConnectionPool$Companion
92cc80e0ac289f90    1 of   2   com/google/android/datatransport/runtime/backends/CreationContextFactory
41fb1c36701f8447    2 of  28   kotlin/collections/EmptySet
d7da482699001f6a    3 of   5   com/google/android/datatransport/runtime/SafeLoggingExecutor$SafeLoggingRunnable
fe17750e015183d0   14 of  56   com/google/firebase/FirebaseOptions
4836edb9e70d6319    3 of   3   retrofit2/CallAdapter$Factory
e3f50566fc4ebb41    5 of  42   com/google/firebase/concurrent/SequentialExecutor
b0af74a234968106    3 of   3   io/reactivex/rxjava3/schedulers/Schedulers$SingleTask
64ca3641e8b7f3a2    6 of  17   androidx/sqlite/db/SupportSQLiteCompat$Api16Impl
73447b8292a22bfa    3 of   3   shark/AndroidReferenceMatchers$RENDER_NODE_ANIMATOR
1358645cbe80101b   17 of  45   com/google/firebase/messaging/FirebaseMessaging$AutoInit
7e79eb446780231d    5 of   7   androidx/core/content/pm/ShortcutInfoCompatSaver$NoopImpl
b1530804807ec088    4 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
