[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
53bdc0319cc2c3b9   24 of  32   androidx/compose/foundation/layout/InsetsPaddingModifier
3d524aa6b7ac10a1    7 of  50   androidx/compose/runtime/Updater
457b1c8cd5c0e707   15 of 261   androidx/recyclerview/widget/AdapterHelper
16158f3ec71e743a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
9f0d1762fd3ee1da    6 of  17   androidx/compose/foundation/layout/InsetsValues
83d0f6185bc0d74a   95 of 129   okio/Options$Companion
7086d98c46310910   29 of  93   kotlinx/serialization/json/JsonBuilder
09db1ab14bbf52a3    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalFocusManager$1
8f83bb62c41eabcb   10 of  50   kotlin/collections/EmptyList
acdba213c73b0d4f   47 of  98   androidx/lifecycle/LiveData
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
89e4b11bdbb3eff4    9 of  13   org/breezyweather/theme/compose/ThemeKt$BreezyWeatherTheme$1
1925a35ac5763d7d   17 of  96   androidx/compose/ui/graphics/vector/VectorPath
6a28f39cc3792e37    6 of  69   androidx/lifecycle/SavedStateViewModelFactory
b6bb9b4816bb631f    3 of   3   androidx/compose/foundation/layout/FillNode$measure$1
efb836107ec8e7db    4 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$2$1$invoke$$inlined$onDispose$1
64bc758e8dd41d3e    4 of  21   kotlin/text/StringsKt__AppendableKt
27d004bec81ac3f0    1 of  50   org/breezyweather/background/forecast/TomorrowForecastNotificationJob
888e50c230e6a1d2   48 of 193   androidx/compose/runtime/EffectsKt
34a3c575fb92a5b0   18 of  42   kotlinx/coroutines/flow/SharedFlowKt
6a033c926cad7874    7 of  10   androidx/compose/material3/AppBarKt$SingleRowTopAppBar$colorTransitionFraction$2$1
ef25e04437ea5da1    4 of  28   org/breezyweather/common/extensions/ContextExtensionsKt
e1d7468a12d6ada1    1 of   3   androidx/compose/ui/platform/ComposeView$Content$1
c70020e39b0fde92   15 of  39   androidx/core/view/WindowInsetsCompat$BuilderImpl20
13d9caf113cb9a33   16 of  23   androidx/lifecycle/ReportFragment$Companion
842755761fe7f67f    7 of  15   androidx/compose/ui/platform/SemanticsNodeCopy
ac181508bc4024ef    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalDensity$1
a53c460bbba491d1    5 of  11   androidx/compose/ui/input/key/KeyInputNode
422cacd4b4cbf84f    6 of  12   androidx/compose/ui/platform/WindowRecomposer_androidKt$createLifecycleAwareWindowRecomposer$2$onStateChanged$1$1$1
af356adc8c999347    5 of   7   kotlinx/coroutines/UndispatchedMarker
38bc9b0b3313e7ae    2 of   8   okhttp3/internal/connection/RouteDatabase
923d07e9769a2db4    2 of  30   androidx/compose/animation/core/AnimationVector2D
e559b24c4d56e3a7   17 of  32   androidx/compose/material3/TypographyKt$WhenMappings
14c8fddbfcad3e5f    2 of   4   androidx/compose/ui/text/SaversKt$NonNullValueClassSaver$1
353bc5c9c3f2c78d  199 of 751   androidx/fragment/app/Fragment
fc52a25e81c4edc1    2 of   4   androidx/compose/ui/text/SaversKt$VerbatimTtsAnnotationSaver$1
84f1db4d146eb4a5   31 of  73   androidx/arch/core/internal/SafeIterableMap
479d21dea65c9fab    3 of   4   kotlinx/coroutines/flow/DistinctFlowImpl
2e514240573c0b2d    2 of   8   app/cash/sqldelight/db/SqlDriver$DefaultImpls
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
43ca19fa6d93092c    5 of  30   androidx/compose/ui/text/style/TextGeometricTransform
b9266da35492d51d    8 of   9   androidx/compose/ui/graphics/colorspace/ConnectorKt
1ac853bbb34ca063   18 of  36   kotlinx/coroutines/flow/FlowKt__ChannelsKt
857dd439e3ef4224   51 of  76   androidx/compose/ui/input/pointer/NodeParent
779b2fc702e4c6b3    8 of  10   okhttp3/internal/platform/android/AndroidCertificateChainCleaner$Companion
09b9a15afd9bf15f    5 of   7   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNode$ModificationResult
1623784a8be60b40    2 of  15   androidx/compose/ui/platform/AndroidViewConfiguration
9aa746566d31cc39    8 of  61   androidx/compose/ui/unit/Density
07e2a132650b6470    2 of   5   androidx/appcompat/widget/TooltipCompat
116d0682c6530a59    2 of   4   androidx/compose/animation/core/VectorConvertersKt$RectToVector$2
130c398e00b3ce68    3 of 254   androidx/compose/ui/platform/ViewLayer
61182e7f2f918f91    4 of   4   androidx/compose/material3/TextKt$LocalTextStyle$1
