[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
132bb852159c5b4f   10 of 170   okhttp3/internal/http/HttpHeaders
54194b55022d1cd1   91 of 256   com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore
b4ebe4d2c89fcad0    9 of  13   com/google/android/gms/internal/cast/zzn
285de1871b9f5090    4 of   5   androidx/mediarouter/media/MediaRouteProvider$ProviderHandler
15f4b1d9a058fb31    1 of   1   com/bumptech/glide/load/model/ModelLoaderRegistry$ModelLoaderCache$Entry
6f3a12470cc3da99    7 of  17   com/google/android/datatransport/runtime/AutoValue_TransportContext$Builder
cd82b385cfa992c6    4 of   8   com/bumptech/glide/load/model/stream/MediaStoreImageThumbLoader
d28178858005283b    2 of   3   com/bumptech/glide/load/model/StringLoader$StreamFactory
15fc7dbb61588ca0   43 of 142   androidx/appcompat/app/AppCompatActivity
da2770b99b6f03a0    2 of   7   okio/Timeout$Companion
c5f37f1562e0d0c3    2 of   2   com/google/android/gms/internal/cast/zzir
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
bf5a1dd95d8bae6e    4 of   6   com/google/android/gms/dynamite/zze
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
59d58d12cc3f345e   19 of  30   com/google/android/gms/common/internal/GetServiceRequest
8d54d6a03eaaf7c7    3 of   4   com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore$$Lambda$4
0fde33f154d45b7f    1 of   2   androidx/appcompat/widget/SearchView$7
d3834b82237cd702    5 of   5   com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore_Factory
a810c89fb6d4e540    8 of  32   okhttp3/internal/http/StatusLine
d309b9190bfe0d9f    1 of   1   com/google/android/datatransport/runtime/scheduling/jobscheduling/SchedulerConfig$ConfigValue$Builder
314805bf4329b7ce    8 of  76   com/google/android/gms/common/api/internal/zabr
38eda095d6c1cfb1   14 of  14   com/google/android/datatransport/cct/internal/AutoBatchedLogRequestEncoder
81f1bd47179527c6   23 of 103   com/google/android/gms/internal/cast/zzod
eaefe2b33b895b4e    2 of  44   androidx/collection/MapCollections$EntrySet
730a46d5d35465d2    3 of   4   leakcanary/internal/activity/db/Io$IoContext
899cb09ae78080c7    6 of   8   org/schabi/newpipe/extractor/ServiceList
d6c3d3080e4794bd   20 of  87   androidx/appcompat/widget/SearchView$SearchAutoComplete
a642f93a28806485    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/lt
94e7b93f923d4b32    3 of   9   leakcanary/internal/activity/ui/SimpleListAdapter
ff06678385635cc1    3 of   5   androidx/mediarouter/app/MediaRouteDialogFactory
c842a298982f87ec   19 of  25   com/bumptech/glide/load/engine/LoadPath
258ef486cdb9766a   23 of  46   org/ocpsoft/prettytime/impl/ResourcesTimeFormat
ab91458839655313    7 of  20   androidx/core/app/NotificationChannelCompat$Builder
f6ce317b06a85259    2 of  19   com/google/android/gms/cast/framework/zzam
df862c4f436e4f81    5 of   5   com/google/android/datatransport/runtime/scheduling/jobscheduling/WorkInitializer_Factory
cc0eb6e9578978a8    1 of  15   com/google/gson/internal/bind/TypeAdapters$22
0623605142cef96f    1 of   1   com/google/android/gms/common/api/internal/zabu
20dab2a1bd349a4d   11 of  39   curtains/WindowsKt
f57c782aefadb3db    2 of   6   leakcanary/BackgroundThreadHeapAnalyzer$heapAnalyzerThreadHandler$2
61b9676bc3d3285f  286 of 670   com/google/android/material/tabs/TabLayout
193db44406d3dd0c   36 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
194c099a08ac5038    1 of   8   com/bumptech/glide/load/resource/bitmap/DownsampleStrategy$AtMost
f2c9eccb2e421a86  108 of 118   com/google/android/gms/internal/cast/zzhi
c204cdb3df67aaa2    1 of 113   androidx/appcompat/view/menu/ActionMenuItem
61fd240e53c3a3d6    5 of   6   androidx/fragment/app/DefaultSpecialEffectsController$1
ff240114ecfffb25    5 of  12   leakcanary/internal/PlumberInstaller
4412d24c2bd322c8    6 of  47   androidx/core/os/CancellationSignal
4cc8b2974ed405fb    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/fr_CA
f30faa7b0789092e    2 of   7   shark/AndroidReferenceMatchers$VIEW_GROUP__M_PRE_SORTED_CHILDREN$add$1
39c37c9644321ab5    1 of   4   com/google/gson/internal/bind/ObjectTypeAdapter$1
af56a696306a1cb2   12 of 124   free/rm/skytube/businessobjects/db/BookmarksDb
0e0a767c4ff88c01    4 of   4   androidx/lifecycle/viewmodel/ViewModelInitializer
