[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
73213928ddb01e00  110 of 227   com/better/alarm/presenter/AlarmsListActivity
cb94ed388729303c    7 of  16   org/acra/ktx/ExtensionsKt
41cecd53443ce118    2 of   3   kotlinx/coroutines/flow/SafeFlow
a381b7ddf19bf47d   43 of 163   org/slf4j/LoggerFactory
69c94d974af00f14    5 of   8   kotlinx/coroutines/CoroutineContextKt$hasCopyableElements$1
9b3382553492fc4e   14 of  85   com/better/alarm/PermissionsKt
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
fc259e7d2f7cf498    1 of   2   kotlinx/coroutines/StandaloneCoroutine
cb21ac7377fef111    5 of  12   kotlinx/coroutines/ResumeAwaitOnCompletion
9e9ada5382e69f92   14 of  34   androidx/appcompat/widget/ViewUtils
2ac084048cd1dba8   12 of  59   androidx/appcompat/widget/ShareActionProvider
